"courier_id"	"page"	"count"
14255	36	2
15480	12	2
16653	15	2
16653	30	2
16653	31	2
28352	12	2
33144	14	2
33144	44	2
44064	15	2
44515	24	2
46076	32	2
46076	70	2
46076	72	2
46520	6	2
49738	24	2
49738	32	2
50399	8	2
50399	20	2
50495	26	2
52257	4	2
52257	6	2
52879	16	2
52879	17	2
56740	6	2
56740	13	2
56743	24	2
57247	40	2
57783	6	2
58738	28	2
58953	8	2
58953	20	2
58953	32	2
59301	30	2
59301	31	2
59709	7	2
59709	11	2
59709	24	2
60487	33	2
60510	52	2
60703	16	2
60703	23	2
60703	24	2
60718	25	2
60718	27	2
61392	15	2
61953	12	2
61953	13	2
62188	18	2
62188	20	2
62188	21	2
62315	6	2
62315	7	2
62315	8	2
62315	9	2
62315	10	2
62315	11	2
62315	12	2
62315	13	2
62315	14	2
62315	15	2
62315	16	2
62315	17	2
62315	20	2
62315	21	2
62315	22	2
62315	23	2
62315	24	2
62315	25	2
62315	26	2
62315	29	2
62315	30	2
62315	31	2
62315	32	2
62352	16	2
62384	20	2
62384	21	2
62384	22	2
62393	24	2
62404	26	2
62882	31	2
62882	33	2
62906	7	2
62906	8	2
62906	10	2
62906	13	2
63436	10	2
63436	22	2
63436	23	2
63438	4	2
63456	40	2
64501	13	2
64522	50	2
64591	34	2
64690	15	2
64696	32	2
64895	6	2
66121	16	2
66121	21	2
66148	32	2
66182	28	2
66285	17	2
66321	12	2
66613	23	2
66675	24	2
66943	4	2
66943	5	2
66943	6	2
66943	7	2
66943	8	2
66943	9	2
66943	10	2
66943	11	2
66943	12	2
66943	13	2
66943	14	2
66943	15	2
66943	16	2
66943	17	2
66943	24	2
66943	25	2
66943	26	2
66943	27	2
66943	28	2
66943	30	2
66943	31	2
66943	33	2
66943	34	2
66943	35	2
66943	36	2
67218	16	2
67651	37	2
67651	45	2
67651	49	2
67988	39	2
68057	24	2
68057	28	2
68057	29	2
68108	6	2
68108	11	2
68108	12	2
68108	14	2
68108	16	2
68108	21	2
68108	26	2
68337	9	2
68778	8	2
68910	58	2
68988	8	2
69416	15	2
69416	18	2
69416	38	2
69416	47	2
69416	51	2
69416	53	2
69416	56	2
69653	6	2
69653	8	2
69653	9	2
69653	32	2
69680	9	2
69680	11	2
69680	18	2
69680	24	2
69729	7	2
69729	9	2
69729	10	2
69729	28	2
69729	29	2
69853	13	2
69916	9	2
69962	31	2
69982	23	2
70144	10	2
70186	12	2
70186	14	2
70196	5	2
70196	10	2
70219	15	2
70232	12	2
70250	10	2
70250	12	2
70250	14	2
70268	10	2
70450	3	2
70450	13	2
70452	10	2
70452	18	2
70452	19	2
70452	20	2
70464	4	2
70568	10	2
70725	8	2
70725	12	2
70841	8	2
70841	15	2
70841	19	2
70922	6	2
70922	12	2
71048	6	2
71059	12	2
71076	6	2
71076	10	2
71148	4	2
71148	12	2
71148	14	2
71298	5	2
71298	6	2
71299	4	2
71299	8	2
71299	9	2
71641	8	2
71641	16	2
71641	18	2
71641	28	2
71641	41	2
71641	42	2
71641	45	2
71682	22	2
71682	24	2
71682	26	2
72098	9	2
72293	31	2
73033	24	2
73068	9	2
73068	12	2
73068	13	2
73068	14	2
73068	23	2
73068	28	2
73068	35	2
73068	36	2
73068	37	2
73178	13	2
73310	4	2
73310	14	2
73379	30	2
73487	2	2
73487	3	2
73487	4	2
73487	14	2
73557	13	2
73649	1	4
73649	2	3
73649	3	4
73649	4	2
73649	5	2
73649	6	2
73649	7	5
73683	1	3
73683	2	4
73683	3	4
73683	4	3
73683	5	3
73683	6	3
73683	7	3
73683	8	2
73713	1	2
73713	2	2
73713	3	3
73713	4	3
73713	5	3
73713	6	5
73713	7	4
73741	1	3
73741	2	4
73741	3	4
73741	4	4
73741	5	2
73741	6	3
73741	7	3
73774	1	3
73774	2	2
73774	3	3
73774	4	2
73774	6	3
73774	7	2
73774	8	2
73790	1	4
73790	2	2
73790	3	2
73790	4	2
73790	5	3
73790	6	2
73790	7	3
73790	8	2
73809	1	3
73809	2	4
73809	3	3
73809	4	3
73809	5	2
73809	6	2
73809	7	3
73809	8	2
73829	1	2
73829	2	2
73829	3	2
73829	4	4
73829	5	2
73829	6	2
73829	7	2
73829	8	3
73850	1	2
73850	2	2
73850	3	2
73850	4	3
73850	5	3
73850	6	4
73850	7	2
73850	8	2
73867	1	2
73867	3	2
73867	4	3
73867	5	4
73867	7	5
73886	1	3
73886	2	4
73886	3	3
73886	4	4
73886	5	4
73886	6	4
73886	7	4
73886	8	2
73912	2	3
73912	3	4
73912	4	2
73912	9	2
73912	10	3
73912	11	4
73912	12	2
73938	1	2
73938	2	3
73938	3	3
73938	4	4
73938	6	3
73938	7	3
73956	2	2
73956	7	2
73956	8	2
73956	9	2
73956	10	2
73956	11	2
73970	3	4
73970	4	3
73970	6	4
73970	7	5
73970	8	3
73970	9	3
73970	10	3
73993	3	2
73993	6	2
73993	7	2
73993	9	3
73993	11	2
73993	12	2
74013	1	2
74013	2	3
74013	3	2
74013	4	2
74013	6	2
74013	8	2
74013	9	2
74013	11	2
74029	3	2
74029	4	2
74029	5	3
74029	6	3
74029	7	4
74029	8	4
74029	9	3
74029	11	2
74029	12	3
74055	2	2
74055	3	2
74055	5	2
74055	7	3
74055	8	3
74055	9	2
74055	10	2
74055	11	2
74055	14	2
74055	15	2
74055	16	4
74055	17	3
74055	18	2
74055	19	2
74055	21	2
74055	22	2
74055	23	2
74055	26	2
74055	27	2
74055	28	3
74055	30	4
74055	31	3
74116	3	2
74116	4	2
74116	12	2
74130	2	2
74130	3	2
74130	5	2
74130	6	5
74130	7	4
74130	8	2
74130	9	3
74130	10	3
74130	11	2
74130	12	2
74130	13	3
74130	14	2
74130	16	3
74130	17	2
74130	19	2
74130	20	2
74130	22	3
74130	23	2
74184	4	2
74184	5	2
74184	8	2
74184	10	4
74184	11	2
74589	6	3
74589	7	2
74589	10	2
74589	11	2
74589	12	2
74589	13	2
74589	14	2
74639	10	2
74642	26	2
74642	28	2
74642	31	2
74673	2	2
74673	11	2
74676	14	2
74678	11	2
74679	29	2
74684	30	2
74686	17	2
74686	18	2
74686	25	2
74686	28	2
74687	27	2
74689	7	2
74689	17	2
74689	26	2
74689	27	2
74691	7	2
74692	8	2
74693	11	2
74694	6	2
74694	14	2
74694	16	2
74694	18	2
74694	19	2
74694	21	2
74694	29	2
74694	31	2
74700	13	2
74700	28	2
74705	6	2
74708	14	2
74708	15	2
74708	17	2
74708	18	2
74708	36	2
74708	37	2
74708	40	2
74712	11	2
74712	19	2
74713	10	2
74714	28	2
74714	30	2
74714	31	2
74715	9	2
74715	10	2
74715	12	2
74715	13	2
74715	16	2
74720	19	2
74720	22	2
74721	44	2
74721	45	2
74721	52	2
74721	60	2
74721	63	2
74723	26	2
74732	20	2
74732	39	2
74736	21	2
74737	34	2
74739	31	2
74741	7	2
74744	19	2
74744	20	2
74744	23	2
74744	29	2
74748	9	2
74748	66	2
74752	32	2
74754	14	3
74754	15	2
74754	31	2
74754	40	2
74756	33	2
74758	9	2
74758	10	2
74758	12	2
74758	13	2
74760	6	2
74761	5	2
74766	18	2
74766	23	2
74770	16	2
74771	26	2
74771	27	2
74771	29	2
74771	31	2
74776	6	2
74776	8	2
74776	16	2
74776	25	2
74776	38	2
74776	39	2
74777	16	2
74778	17	2
74785	8	2
74785	33	2
74786	18	2
74786	30	2
74786	38	2
74795	11	2
74795	30	2
74798	16	2
74798	17	2
74798	18	2
74798	19	2
74798	20	2
74798	21	2
74801	22	2
74803	6	2
74803	24	2
74803	28	2
74803	29	2
74803	30	2
74804	26	2
74805	33	2
74806	15	2
74806	24	2
74806	32	2
74807	30	2
74807	50	2
74808	26	2
74808	27	2
74808	28	2
74809	22	2
74809	31	2
74810	6	2
74810	9	2
74810	10	2
74810	16	2
74810	23	2
74811	33	2
74812	36	2
74813	6	2
74813	14	2
74813	33	2
74814	18	2
74814	62	2
74814	66	2
74814	69	2
74815	26	2
74815	27	2
74816	8	2
74816	14	2
74816	20	2
74817	12	2
74817	22	2
74817	52	2
74819	24	2
74819	32	2
74823	8	2
74825	14	2
74825	22	2
74825	33	2
74826	28	2
74826	46	2
74827	24	2
74829	48	2
74829	49	2
74836	11	2
74836	12	2
74836	13	2
74836	14	2
74836	15	2
74836	16	2
74836	17	2
74836	32	2
74840	28	2
74841	23	2
74841	36	2
74841	37	2
74842	30	2
74842	32	2
74842	33	2
74842	34	2
74845	18	2
74845	42	2
74845	68	2
74848	23	2
74848	28	2
74848	32	2
74848	33	2
74849	6	2
74849	44	2
74866	32	2
74866	36	2
74868	11	2
74868	23	2
74868	30	2
74869	26	2
74869	28	2
74873	32	2
74875	16	2
74875	32	2
74876	57	2
74877	36	2
74878	16	2
74879	12	2
74879	32	2
74884	4	2
74884	5	2
74884	6	2
74884	7	2
74884	8	2
74884	9	2
74884	10	2
74884	11	2
74884	12	2
74884	13	2
74884	14	2
74884	15	2
74884	16	2
74885	11	2
74885	12	2
74885	22	2
74886	34	2
74890	6	2
74890	8	2
74890	10	2
74891	64	2
74894	20	2
74894	23	2
74894	32	2
74925	32	2
74933	5	2
74933	11	2
74933	20	2
74946	3	3
74946	4	3
74946	5	2
74946	7	2
74946	8	2
74946	9	3
74946	10	2
74946	11	2
74968	3	3
74968	4	3
74968	7	2
74968	10	3
74968	11	3
74977	2	2
74977	3	2
74977	4	2
74977	7	3
74977	8	3
74977	9	2
74977	10	2
74977	11	3
76498	30	2
76565	38	2
76585	31	2
76585	32	2
76667	18	2
76667	41	2
77050	34	2
78133	32	2
78141	32	4
78148	16	2
78148	17	2
78161	22	2
78165	32	2
78193	10	2
78196	6	2
78196	7	2
78196	24	2
78196	25	2
78208	8	2
78210	24	2
78211	30	2
78226	8	2
78226	16	2
78226	28	2
78226	36	2
78231	14	2
78231	27	2
78237	26	2
78240	24	2
78245	28	2
78246	6	2
78246	7	2
78246	10	2
78246	25	2
78246	28	2
78246	46	2
78246	49	2
78246	73	2
78246	76	2
78247	6	2
78247	8	2
78247	10	2
78247	11	2
78247	14	2
78247	15	2
78247	16	2
78247	17	2
78247	26	2
78253	24	2
78262	22	2
78266	32	2
78269	26	2
78269	27	2
78271	12	2
78273	28	2
78274	31	2
78274	32	2
78276	38	2
78279	65	2
78283	41	2
78289	36	2
78290	41	2
78306	14	2
78306	18	2
78306	30	2
78306	44	2
78306	48	2
78349	12	2
78354	24	2
78367	12	2
78367	22	2
78370	16	2
78370	17	2
78370	20	2
78370	22	2
78370	24	2
78371	45	2
78373	10	2
78379	12	2
78379	14	2
78379	30	2
78379	31	2
78380	15	2
78380	18	2
78380	30	2
78380	35	2
78382	6	2
78382	12	2
78382	14	2
78382	28	2
78382	30	2
78382	32	2
78383	12	2
78383	34	2
78438	8	2
78447	32	2
78449	24	2
78451	18	2
78451	36	2
78452	30	2
79384	9	2
79702	38	2
81286	2	2
81286	3	2
81286	4	4
81286	6	3
81286	7	2
81286	9	2
81286	11	2
81370	2	2
81370	4	2
81370	5	2
81370	6	2
81370	9	3
81370	10	2
81400	3	2
81400	4	2
81400	6	2
81400	11	2
81400	13	2
81475	3	2
81475	6	2
81475	7	2
81475	8	2
81475	11	3
81475	12	2
81475	13	3
81475	15	2
81543	3	2
81543	4	2
81543	8	2
81543	9	2
81564	5	3
81564	8	2
81564	10	3
81564	11	2
81592	2	2
81592	4	2
81592	8	3
81592	11	3
81616	2	3
81616	3	3
81616	5	2
81616	8	2
81616	9	2
81616	11	2
81712	11	2
81712	13	2
81712	17	2
81712	18	2
81712	19	2
81712	21	2
81712	29	2
81732	8	2
83386	25	2
84413	24	2
85187	47	2
85577	16	2
85577	40	2
86052	49	2
86203	14	2
86203	15	3
86687	33	2
87206	15	2
87206	20	3
87206	24	2
87206	32	2
87206	38	2
87206	45	2
87746	16	2
87746	20	2
87746	34	2
87907	22	2
88837	46	2
89116	20	2
90256	22	2
90256	39	2
90699	30	2
90796	48	2
90835	17	2
90835	36	2
91185	21	2
91185	31	2
91224	14	2
91224	32	2
91412	26	2
91412	27	2
92021	35	2
92021	36	2
92021	38	2
92021	39	2
92021	42	2
92021	43	2
92021	44	3
92021	45	2
92021	46	2
92231	26	2
92231	27	2
92231	28	2
92231	29	2
92231	40	2
92231	42	2
92573	24	2
92573	25	2
92573	26	2
92573	27	2
92573	50	2
92651	28	2
92651	29	2
92651	30	2
92651	31	2
93364	25	2
93364	26	2
93364	27	2
93364	28	2
93364	29	2
93364	30	2
93364	31	2
93364	32	2
93750	40	2
94420	40	2
94420	41	2
95092	46	2
95106	8	2
96120	42	2
96120	43	2
96120	44	3
96815	36	2
96850	38	2
97246	13	2
97246	51	2
97246	52	2
98936	23	2
98936	32	2
98936	48	2
99251	18	2
99251	20	2
99251	21	2
99251	27	2
99738	13	2
99738	18	2
99738	22	2
99738	25	2
99738	29	2
99844	46	2
100263	9	2
100263	26	2
100263	36	2
100263	48	2
101119	29	2
101119	31	2
101119	34	2
101488	26	2
101488	32	2
102011	46	2
102011	47	2
102540	30	2
102622	14	2
102622	22	2
102622	24	2
102622	26	2
103084	47	2
104497	16	2
104902	49	2
104975	15	2
105001	20	2
105001	36	2
105001	48	2
105101	27	2
105101	34	2
105969	49	2
109370	9	2
109370	27	2
109505	8	2
109515	78	2
109515	91	2
109841	31	2
111114	14	2
111114	50	2
112053	6	2
112488	14	2
112488	20	2
112488	26	2
112488	56	2
112488	57	2
112488	58	2
112488	59	2
112488	61	2
112488	65	2
112488	66	2
112488	68	2
112488	70	2
112488	75	2
113355	15	2
113355	22	2
113355	23	2
113355	26	2
113355	27	2
113355	33	2
113355	34	2
113615	12	2
113615	13	2
113615	27	2
113615	31	2
113615	44	2
114138	16	2
114138	20	2
114138	31	2
114138	42	2
114252	26	2
114252	28	2
114252	29	2
114252	30	2
114252	31	2
114252	32	2
114699	22	2
114699	24	2
114699	25	2
114699	32	2
114969	15	2
114969	18	2
114969	19	2
114969	20	2
114969	21	2
114969	22	2
114969	23	2
114969	24	2
114969	25	2
114969	26	2
114969	27	2
114969	28	2
114969	29	2
114969	30	2
114969	31	3
114969	32	2
114969	33	2
114969	34	2
114969	35	2
114969	36	2
114969	44	2
115117	28	2
115117	30	2
115591	13	2
115591	28	2
115591	30	2
115858	20	2
115858	21	2
115858	33	2
116241	16	2
116241	24	2
116241	25	2
116578	16	2
116578	42	2
116578	59	2
117043	25	2
117043	26	2
117043	27	2
117419	42	2
117896	34	2
118279	13	2
118279	26	2
118482	21	2
118789	23	2
118789	25	2
118789	27	2
118789	29	2
118789	34	2
119217	11	2
119217	27	2
119217	29	2
119217	32	2
119217	34	2
119473	11	2
119473	19	2
119473	24	2
119473	27	2
119473	33	2
119473	42	2
119663	11	2
119663	27	2
119663	31	2
119966	15	2
119966	20	2
119966	23	2
119966	24	2
119966	35	2
119966	40	2
119966	46	2
120152	32	2
120152	36	2
120152	37	2
120152	43	2
120152	46	2
120152	47	2
120152	63	2
120152	67	2
120152	68	2
120395	20	2
120395	25	2
120395	28	2
120395	35	2
120752	13	2
120752	28	2
120752	34	3
120752	36	2
121198	24	2
121198	26	2
121198	37	2
121326	12	2
121326	38	2
121514	28	2
121920	18	2
121920	23	2
121920	26	2
121920	29	2
121920	31	2
121920	39	3
122144	11	2
122144	22	2
122144	37	2
122144	46	2
122266	10	2
122266	11	2
122266	13	2
122266	31	2
122623	32	3
122623	33	3
122623	34	3
122623	35	2
122623	39	2
122623	40	2
122747	15	2
122747	31	2
122747	34	2
123057	37	2
123057	40	2
123057	47	2
123057	54	2
123512	29	2
123512	32	2
123798	22	2
123798	23	2
124272	13	2
124272	14	2
124272	18	2
124272	38	2
124272	42	2
124272	46	2
130036	23	2
130036	48	2
130036	52	2
132107	40	2
132107	41	2
132107	42	2
132107	43	2
132107	44	2
132107	45	2
132107	46	3
132107	47	2
132107	48	2
132107	49	2
132107	50	2
132107	51	2
132107	52	3
132107	53	2
132107	54	2
132107	55	2
132107	57	2
132107	58	2
132107	59	2
133120	15	2
133120	28	3
133120	30	2
133120	31	2
133120	34	2
135045	34	2
135045	38	2
138446	33	2
138446	44	2
142021	5	2
142021	6	2
142021	9	2
142021	10	2
142021	20	2
142021	23	2
142021	34	2
142021	40	2
142021	49	2
142021	56	2
142021	57	2
142021	69	2
142021	70	2
150227	8	2
151580	17	2
152042	4	2
152042	5	2
152042	9	2
158378	5	2
158378	16	2
158378	23	2
158580	5	2
158580	12	2
159919	7	2
159919	12	2
159919	14	2
159919	16	2
159919	19	2
162430	14	2
162711	9	2
162711	25	2
162711	29	2
162711	31	2
162711	39	2
162711	47	2
163541	9	2
163541	13	2
163541	15	2
163541	17	2
179880	16	2
184034	15	2
184071	16	2
184071	26	2
185815	19	2
185818	20	2
185864	10	2
185958	42	2
186700	15	2
186704	15	2
189455	4	2
189455	8	2
189455	10	2
189457	36	2
189457	37	2
189496	53	2
189559	6	2
189770	12	2
189770	17	2
190645	13	2
190645	21	2
190645	33	2
191574	4	2
191577	4	2
191577	7	2
191577	10	2
191578	4	2
191578	11	2
191579	4	2
191580	4	2
191580	9	2
192178	13	2
192178	16	2
192180	8	2
192180	10	2
192180	13	2
192180	16	2
192180	17	2
192261	37	2
192261	48	2
193773	22	2
193773	30	2
213061	16	2
213061	18	2
213061	32	2
214579	13	2
248106	27	2
248106	28	2
248106	29	2
248106	30	2
265211	31	2
265211	62	2
367693	18	2
372603	12	2
